"group","annotation"
"China","2: Carb+"
"Nepal","2: Carb+"
"Colombia","2: Carb+"
"China","0: ESBL-, Carb-"
"Nepal","1: ESBL+, Carb-"
"Italy","2: Carb+"
"Brazil","3: Carb+, Col+"
"Malaysia","1: ESBL+, Carb-"
"Nepal","1: ESBL+, Carb-"
"Nepal","1: ESBL+, Carb-"
"Nepal","1: ESBL+, Carb-"
"USA","2: Carb+"
"Italy","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"Spain","2: Carb+"
"Portugal","1: ESBL+, Carb-"
"Russia","2: Carb+"
"Pakistan","3: Carb+, Col+"
"Philippines","3: Carb+, Col+"
"Hungary","2: Carb+"
"USA","2: Carb+"
"Italy","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"USA","2: Carb+"
"Argentina","2: Carb+"
"Greece","3: Carb+, Col+"
"Greece","2: Carb+"
"Turkey","3: Carb+, Col+"
"Austria","0: ESBL-, Carb-"
"Israel","1: ESBL+, Carb-"
"Italy","2: Carb+"
"Italy","2: Carb+"
"Italy","2: Carb+"
"Spain","2: Carb+"
"Spain","3: Carb+, Col+"
"Norway","2: Carb+"
"Australia","0: ESBL-, Carb-"
"Australia","1: ESBL+, Carb-"
"USA","2: Carb+"
"USA","0: ESBL-, Carb-"
"South Africa","2: Carb+"
"South Africa","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","2: Carb+"
"Pakistan","3: Carb+, Col+"
"USA","2: Carb+"
"Spain","2: Carb+"
"Russia","0: ESBL-, Carb-"
"Greece","0: ESBL-, Carb-"
"Serbia","1: ESBL+, Carb-"
"Portugal","2: Carb+"
"Romania","0: ESBL-, Carb-"
"Croatia","1: ESBL+, Carb-"
"Croatia","1: ESBL+, Carb-"
"Belgium","1: ESBL+, Carb-"
"Belgium","2: Carb+"
"Serbia","1: ESBL+, Carb-"
"Serbia","1: ESBL+, Carb-"
"Turkey","0: ESBL-, Carb-"
